LOCATION,TIME,eu,ea,gr5y,pop_work_5,gdp_per_work_5,trade_in_goods_5,inflation_5,years
GRC,2014,1.0,1.0,-0.099111933662089,738.4944533130001,456.9402633779534,47.7438465436215,1.210074,2014
GRC,2015,1.0,1.0,-0.016831490157915848,736.5443704319999,421.7916156467071,51.197285641685994,4.712982,2015
GRC,2016,1.0,1.0,0.0985942863100993,731.4575532,389.7417693655993,56.8339639441776,3.32987,2016
GRC,2017,1.0,1.0,0.17759809135785914,722.99530959,380.5771301006594,62.058622823390095,1.50152,2017
GRC,2018,1.0,1.0,0.16858876733149597,713.4184279579999,398.818763084643,62.9702927893694,-0.922165,2018
HUN,1975,1.0,1.0,,699.20467812,,,,1975
HUN,1976,1.0,1.0,,704.256285015,,,,1976
HUN,1977,1.0,1.0,,706.931012144,,,,1977
HUN,1978,1.0,1.0,,707.804363997,,,,1978
HUN,1979,1.0,1.0,,707.5965254399999,,,,1979
HUN,1980,1.0,1.0,,706.6050403510001,,,,1980
HUN,1981,1.0,1.0,,705.161577242,,,,1981
HUN,1982,1.0,1.0,,702.780496028,,,,1982
HUN,1983,1.0,1.0,,699.8883539870001,,,,1983
HUN,1984,1.0,1.0,,695.223708452,,,,1984
HUN,1985,1.0,1.0,,692.36718464,,,,1985
HUN,1986,1.0,1.0,,694.470853696,,,4.66141,1986
HUN,1987,1.0,1.0,,698.2793563619999,,,6.835808,1987
HUN,1988,1.0,1.0,,702.8217657829999,,,7.279892,1988
HUN,1989,1.0,1.0,,705.1395450159999,,,8.467859,1989
HUN,1990,1.0,1.0,,704.36990239,,,6.94234,1990
HUN,1991,1.0,1.0,,702.6697159350001,,,5.291667,1991
HUN,1992,1.0,1.0,,700.9610624070001,,,8.674317,1992
HUN,1993,1.0,1.0,,699.834519516,,,15.72355,1993
HUN,1994,1.0,1.0,,693.2397989460001,,,17.14915,1994
HUN,1995,1.0,1.0,,688.9883466050001,,,28.36959,1995
HUN,1996,1.0,1.0,0.10690916245913562,692.4761834899999,124.41300661894047,58.3612839221674,34.81754,1996
HUN,1997,1.0,1.0,0.17811887020283904,695.2952879669999,122.84902181597128,55.4413551752372,23.65572,1997
HUN,1998,1.0,1.0,0.22741019764857093,697.195609134,124.69434669559278,53.5610134076717,22.46424,1998
HUN,1999,1.0,1.0,0.22076696886969197,698.2594793719999,130.91068821895828,56.4601800595238,18.86808,1999
HUN,2000,1.0,1.0,0.2826622454277047,698.54803821,135.5904688283242,78.3847053096874,28.30546,2000
HUN,2001,1.0,1.0,0.40384339244245027,698.52430384,137.7138969555943,83.2922066662408,23.46903,2001
HUN,2002,1.0,1.0,0.4657662119867,698.3116335000001,144.73075078735602,94.8487191212692,18.30508,2002
HUN,2003,1.0,1.0,0.4735044745106876,697.4697674560001,153.05111272329697,107.4299006264401,14.15379,2003
HUN,2004,1.0,1.0,0.4786610054656027,696.540862026,159.811444049703,114.0257748497836,9.997744,2004
HUN,2005,1.0,1.0,0.4276485360010117,696.22443756,173.9167752059335,137.4066012351197,9.803608,2005
HUN,2006,1.0,1.0,0.37809038853643007,696.300581144,193.32874428861152,131.0450687395689,9.116809,2006
HUN,2007,1.0,1.0,0.30391925090730854,695.6108197499999,212.14144433957392,118.3201091622916,5.265448,2007
HUN,2008,1.0,1.0,0.3340810545201283,694.644295104,225.5214994266177,116.60617427442969,4.661017,2008
HUN,2009,1.0,1.0,0.2743305406080747,694.18869662,236.30695054344375,123.2677025506446,6.744347,2009
HUN,2010,1.0,1.0,0.2739480071993807,693.6268688959999,248.29202950876802,127.59308830272889,3.561517,2010
HUN,2011,1.0,1.0,0.25917165207384685,693.182458298,266.4244843319528,148.8675024106259,3.930326,2011
HUN,2012,1.0,1.0,0.22463448484331208,692.199534408,276.6153131896517,155.3468649860635,7.958745,2012
HUN,2013,1.0,1.0,0.19379680769777494,690.536853126,300.86395977202267,158.19527716955702,6.042512,2013
HUN,2014,1.0,1.0,0.2554893245685803,688.5959394879999,301.13316403547225,144.7680732190139,4.211712,2014
HUN,2015,1.0,1.0,0.2555320506986492,686.56137312,316.31113619618486,157.26772402444368,4.855558,2015
HUN,2016,1.0,1.0,0.24131851667709817,683.653349952,335.4741580891877,166.28784217364552,3.929921,2016
HUN,2017,1.0,1.0,0.304692131566527,679.5945358199999,338.75265156778056,165.4546674195386,5.652145,2017
HUN,2018,1.0,1.0,0.3379186837157849,674.797298347,359.17043472715244,164.1740528184684,1.7332,2018
ISL,1975,0.0,0.0,0.697599357815951,11.973729222000001,65.58491389275213,87.0692603059677,,1975
ISL,1976,0.0,0.0,0.5956972015492621,12.161489792000001,76.70729622399209,80.23016962059879,,1976
ISL,1977,0.0,0.0,0.6792552497451432,12.432776376,83.11216809100597,70.8671075315576,,1977
ISL,1978,0.0,0.0,0.7028245081909767,12.70286628,91.6427815848818,72.19938140478149,,1978
ISL,1979,0.0,0.0,0.6871655815251014,12.96831356,103.42794333236341,71.5775232310113,,1979
ISL,1980,0.0,0.0,0.7802343495996799,13.248023772,111.33690770675045,73.9475101746045,,1980
ISL,1981,0.0,0.0,0.8181401547362462,13.471259841000002,122.40161792303445,67.7846318944029,32.35112,1981
ISL,1982,0.0,0.0,0.6992939090635744,13.655622167,139.56654458452255,65.73404165088249,30.31674,1982
ISL,1983,0.0,0.0,0.5215656604723445,13.858623389000002,156.05157448152946,69.1431597960451,43.75,1983
ISL,1984,0.0,0.0,0.44918037192798266,14.074063431999999,174.50006615829216,73.7347922566286,44.44444,1984
ISL,1985,0.0,0.0,0.34550065662897655,14.286600992,198.20578747776648,70.0345325464644,58.52843,1985
ISL,1986,0.0,0.0,0.28705933870278905,14.522230280999999,222.54329655055275,69.77306815645301,51.79325,1986
ISL,1987,0.0,0.0,0.3238301255240482,14.780571420000001,237.16457912152896,68.1691665331724,50.24323,1987
ISL,1988,0.0,0.0,0.3403012959205869,15.011481695999999,237.44271699373763,76.18905007608049,83.95004,1988
ISL,1989,0.0,0.0,0.29263178873695284,15.206475445999999,252.8820707767314,75.0533531327864,30.8524,1989
ISL,1990,0.0,0.0,0.2768133936490132,15.365200032000002,266.6860171989982,79.2605579348987,31.99462,1990
ISL,1991,0.0,0.0,0.21148054902649374,15.509494112,286.4264280910931,72.3437177142451,22.1284,1991
ISL,1992,0.0,0.0,0.07968884457297701,15.738000503999999,313.96561454831175,68.6796688932551,18.29777,1992
ISL,1993,0.0,0.0,0.09603599468189927,16.059644338000002,318.2447812936117,63.5628608576458,25.72551,1993
ISL,1994,0.0,0.0,0.11934147744434344,16.290178526,326.883403487631,63.9466961444318,20.7582,1994
ISL,1995,0.0,0.0,0.09072750933731537,16.41346584,340.50827865859196,65.11085034626,15.51072,1995
ISL,1996,0.0,0.0,0.10491164352393798,16.61385657,347.000046359495,62.9979894013167,6.80878,1996
ISL,1997,0.0,0.0,0.22619932719144684,16.807375298999997,338.9851716073114,59.8793995781191,3.947712,1997
ISL,1998,0.0,0.0,0.2697688036019716,16.940696550000002,348.8077354174672,61.558173136737295,4.04285,1998
ISL,1999,0.0,0.0,0.24222723061936272,17.089721082,365.89415181188036,65.5008781087799,1.552657,1999
ISL,2000,0.0,0.0,0.2314109370503099,17.209361714,371.40174669002255,66.5482232211983,1.651232,2000
ISL,2001,0.0,0.0,0.2753158075847629,17.334723198,383.4043915259523,71.1051510581358,2.260421,2001
ISL,2002,0.0,0.0,0.2012349872561731,17.52258964,415.66338935276235,70.60576767083299,1.815431,2002
ISL,2003,0.0,0.0,0.1262010008961299,17.770433355999998,442.90518088815037,71.883114160111,1.659237,2003
